recipeId,title,description,difficulty,prepTime,cookTime,createdAt
2N1KkmkxyZFF4Cf6iUwx,Sample Recipe 5,Synthetic recipe for ETL testing,hard,15,20,2025-11-20 10:39:57.204540+00:00
7Ym5CV3GYSt8hbN17GYO,Sample Recipe 12,Synthetic recipe for ETL testing,easy,22,27,2025-11-20 10:39:59.284659+00:00
B9Xrs8go77N5UbFJgMMS,Sample Recipe 14,Synthetic recipe for ETL testing,hard,24,29,2025-11-20 10:39:59.851504+00:00
BjmU2myzL2DduPFUoYT5,Sample Recipe 4,Synthetic recipe for ETL testing,medium,14,19,2025-11-20 10:39:56.922095+00:00
KPv2F1S87urRLwwi1e7k,Sample Recipe 9,Synthetic recipe for ETL testing,easy,19,24,2025-11-20 10:39:58.363400+00:00
KTh4wvYn5kR4u1TEcbD9,Sample Recipe 13,Synthetic recipe for ETL testing,medium,23,28,2025-11-20 10:39:59.565739+00:00
QkDv7qx3C730Dpxd1k8j,Sample Recipe 2,Synthetic recipe for ETL testing,hard,12,17,2025-11-20 10:39:56.331343+00:00
UAo2SwI3HHPeO0fMcdxz,Sample Recipe 3,Synthetic recipe for ETL testing,easy,13,18,2025-11-20 10:39:56.614845+00:00
WbCQzK0TCJvvOYKsZgIw,Sample Recipe 7,Synthetic recipe for ETL testing,medium,17,22,2025-11-20 10:39:57.787455+00:00
ZKvfg83ULgwVHNNGWn07,Sample Recipe 8,Synthetic recipe for ETL testing,hard,18,23,2025-11-20 10:39:58.072692+00:00
dIs65iNdQhJtLKk7gyV1,Sample Recipe 1,Synthetic recipe for ETL testing,medium,11,16,2025-11-20 10:39:56.032684+00:00
pTvTkpYIVHd0Gj2EboUM,Sample Recipe 10,Synthetic recipe for ETL testing,medium,20,25,2025-11-20 10:39:58.643536+00:00
puran_poli_ritesh,Ritesh Special Puran Poli,Authentic Maharashtrian sweet flatbread stuffed with chana dal and jaggery filling.,medium,40,30,2025-11-20 10:39:49.755621+00:00
qnLX5BSrQatQVhgjG3HX,Sample Recipe 11,Synthetic recipe for ETL testing,hard,21,26,2025-11-20 10:39:59.001828+00:00
uy19KGhA81UVkphanuWk,Sample Recipe 15,Synthetic recipe for ETL testing,easy,25,30,2025-11-20 10:40:00.131182+00:00
xyUaRq6sJpN5kioklkdH,Sample Recipe 6,Synthetic recipe for ETL testing,easy,16,21,2025-11-20 10:39:57.489269+00:00
